"","V1","V2","V3","V4"
"1",-0.537774,0.50176,0.829564,0.949735
"2",0.394138,0.333782,0.971092,-0.340418
"3",-0.290167,-0.29672,0.293193,-0.980935
"4",-0.196946,0.303423,0.0474227,-1.28341
"5",-1.16312,1.79171,0.278553,1.52706
"6",-1.79455,-1.80241,-1.10468,-0.872148
"7",-0.281839,1.56281,1.8186,-0.286047
"8",0.11128,0.913778,0.797773,-1.2953
"9",0.786149,-2.52592,-1.13846,0.251027
"10",1.10469,-1.52224,2.02965,-0.0765869
"11",-0.754503,0.137344,-0.00293061,0.0807869
"12",1.17831,1.90812,-2.22254,0.176035
"13",0.284309,1.78451,1.57243,0.18105
"14",-0.518657,0.945384,0.496976,0.433831
"15",0.380086,-0.259174,-2.11795,-0.364321
"16",-0.216641,1.40907,0.312365,0.707223
"17",0.11127,-0.202652,-0.298029,0.0128498
"18",-1.04145,-0.0518366,0.150887,0.564615
"19",1.55357,-0.126823,0.202482,0.199817
"20",-0.43494,-0.142714,1.36158,0.470035
"21",0.0106647,-0.722953,2.50071,0.625563
"22",0.518894,0.0756631,-0.693194,1.52665
"23",-1.18829,-0.612586,-1.66044,-0.986855
"24",-3.07564,-1.01681,-0.643697,1.3822
"25",-2.2236,-0.559765,-0.801133,-0.391889
"26",-0.901554,1.05288,-0.848997,1.07036
"27",0.575618,-0.0306268,1.09522,1.88322
"28",-0.324085,-0.499596,-0.952273,-0.99541
"29",0.865488,0.905664,0.184909,-1.9271
"30",-1.18387,-1.39504,0.882119,1.07869
"31",-0.604614,-0.914452,-2.65671,-0.260004
"32",0.994357,1.0874,0.329596,-0.717584
"33",1.04833,-2.11833,1.88644,-1.29178
"34",0.152976,1.44105,0.580031,-0.985431
"35",-2.57377,0.931695,0.167851,0.900706
"36",-0.326895,1.22818,3.20646,-0.0991295
"37",-0.438353,-0.732549,-1.59272,-0.0099279
"38",0.123372,-2.35744,0.375383,-1.23688
"39",-0.054441,-0.403879,-0.73729,-0.125731
"40",-0.516754,1.09791,0.157642,-0.53616
"41",0.62575,-0.213419,0.89696,1.22491
"42",0.551882,-0.560201,-0.288379,0.890665
"43",-0.660599,-0.510592,0.611531,-0.100749
"44",-0.725575,0.894185,-1.70537,0.601216
"45",1.05639,0.82879,1.95712,-0.690313
"46",-0.227423,0.136022,0.609967,-0.850648
"47",0.165248,-0.340313,1.14839,0.793916
"48",1.07929,-0.341101,-0.382178,0.352105
"49",1.96742,-0.326609,0.214164,0.986902
"50",-1.18781,0.941244,-0.408168,-0.08028
"51",-2.47722,1.13465,-0.456708,0.486279
"52",-0.329816,-1.15016,-0.837817,-1.34868
"53",0.530884,-1.07961,-0.556628,1.96474
"54",-0.31836,1.22168,0.118029,-0.922456
"55",0.395777,0.0858757,-0.505151,0.289677
"56",1.13773,0.832766,-1.69638,0.521268
"57",-1.84037,0.521209,-0.837802,0.325865
"58",0.812682,0.450245,-1.5803,0.768955
"59",-0.0631129,0.611446,-0.231143,0.218774
"60",-0.542392,0.722791,0.987739,0.148597
"61",0.22748,0.747236,-0.727272,0.181582
"62",0.214473,-0.598636,-0.883458,2.01478
"63",1.80961,0.0773263,-1.61612,1.09704
"64",-2.46795,-0.602102,1.80133,1.34015
"65",0.246269,0.428664,-0.0528197,0.678406
"66",0.352817,-0.633812,1.18665,0.610066
"67",-2.2428,0.195999,-0.379856,0.347618
"68",0.718559,0.73369,-1.08052,-0.494234
"69",0.85333,1.77049,-0.489953,0.316323
"70",0.21882,0.2742,1.8007,1.6205
"71",0.408421,-0.507414,-0.15323,-0.0310938
"72",0.42867,0.0754555,-1.24207,2.03591
"73",0.940658,-0.00135546,0.261283,-0.77455
"74",0.27986,0.598508,-2.32917,0.85128
"75",-1.41528,0.528365,0.196795,-0.297874
"76",0.819691,0.307528,0.643021,0.731356
"77",-0.375698,0.369064,-1.97205,1.00016
"78",0.642253,0.057291,-0.104268,-0.584152
"79",-0.183984,0.14967,-1.68016,-1.01248
"80",-0.075959,1.08193,-0.535386,-1.25593
"81",0.778299,1.99118,-0.422858,-1.28066
"82",-0.766263,-0.0762246,0.693805,0.0836309
"83",-0.582416,-1.02288,-0.6031,0.567799
"84",0.209738,-0.629043,-0.439882,-0.638122
"85",-0.240768,0.296222,-0.0329039,0.695397
"86",-0.240844,-0.756707,0.654002,0.942229
"87",1.52767,-0.331711,2.32897,-0.514643
"88",-1.64476,-0.625319,-0.284811,1.01631
"89",0.115023,-1.28387,-0.809576,-1.60286
"90",2.09525,-2.18043,0.493229,-1.42472
"91",-2.11821,0.480322,2.05632,0.116649
"92",-0.750473,0.968747,2.27867,0.507829
"93",2.2424,-0.880705,1.17559,1.87398
"94",0.135624,-1.99512,-0.557616,-0.719387
"95",2.62309,0.320983,1.06101,1.60943
"96",0.511957,0.336254,1.17945,-1.10491
"97",-0.270287,-2.0373,0.11775,2.02826
"98",1.40011,0.456255,-0.0223719,-0.326258
"99",-1.97629,0.312525,1.04463,1.19282
"100",-0.315053,-2.10203,0.0476665,2.03192
"101",0.00731465,-1.58928,-1.86927,1.86116
"102",-1.96268,-3.37649,-0.0367132,0.0941781
"103",0.420338,-2.97469,-0.271904,-0.540711
"104",0.509638,-1.93299,1.30856,-3.17496
"105",1.41807,-1.14973,1.14453,0.238964
"106",0.590503,0.515913,-0.628042,0.199856
"107",0.281795,-0.584717,0.372611,-0.188522
"108",0.445279,-0.358251,0.318513,0.529104
"109",-0.0993099,2.16173,-1.12396,-0.00512412
"110",0.873435,1.41426,1.69171,-1.347
"111",0.421606,0.178369,0.525807,1.26808
"112",-1.49164,0.729813,0.188812,0.992808
"113",-2.10236,1.43478,1.26394,0.65399
"114",-0.715248,1.3157,0.116771,-1.04433
"115",-2.5246,-2.02484,0.764587,1.07795
"116",1.50234,0.631597,-1.02532,-0.555641
"117",-0.452757,0.730926,0.395602,0.453344
"118",1.53029,-1.02057,-0.254257,0.470662
"119",-0.993685,0.397112,0.450365,-0.339761
"120",-1.20607,-0.821225,0.670589,-0.980181
"121",-1.32595,-1.65985,0.425608,1.267
"122",-1.49562,-1.01378,-0.256744,-0.515368
"123",-1.81363,1.8797,0.589679,-1.77403
"124",0.461393,0.252563,-0.325431,1.19141
"125",0.766592,0.171222,-1.55362,0.106977
"126",0.727192,-0.418031,-0.343371,0.690826
"127",1.76181,2.10104,1.42638,0.199271
"128",-0.185447,0.862045,-1.59368,-0.743598
"129",-0.916922,-0.663743,1.04933,-0.653383
"130",0.699303,-1.25391,1.39363,-0.530708
"131",2.50378,-2.3586,-2.26369,0.421157
"132",-1.05387,0.880411,-0.794457,-0.414188
"133",2.67432,-0.634777,-0.53391,-0.124805
"134",1.62962,-0.863408,-0.729818,-1.51779
"135",0.703784,-1.13415,1.96503,-0.408117
"136",-1.46941,0.900699,-0.454393,-1.80296
"137",-0.449904,0.987868,-0.666938,-1.60825
"138",-0.770754,0.446914,-0.134997,-1.15275
"139",0.965316,0.0529675,-0.858573,-1.14897
"140",-1.42684,0.788135,-0.626474,0.320193
"141",0.44543,-0.846579,-0.37739,-0.725492
"142",-0.127212,-0.528712,1.06844,-0.152502
"143",1.85817,0.23593,1.31546,-0.317897
"144",0.504694,-1.4183,-0.183668,-0.409044
"145",-1.27744,-0.32932,1.89321,0.864588
"146",0.672313,0.398721,0.911724,-1.21306
"147",1.09645,2.20785,0.104614,0.70668
"148",-0.965787,-0.479825,1.67312,-2.69246
"149",-1.34728,1.34207,1.98366,0.234594
"150",1.68047,1.0495,-1.70747,-0.110411
"151",0.772033,0.552594,-0.368201,-0.683343
"152",1.5997,0.86501,-1.01861,0.900583
"153",-0.660743,1.60312,-1.0208,1.07154
"154",0.00151704,-0.13435,-1.34908,0.177624
"155",-1.99349,-1.02996,-1.05566,0.93103
"156",1.51346,-0.48402,-0.0669792,-0.114289
"157",-0.915264,-0.0541836,0.401694,-1.85697
"158",-0.322786,1.55813,-0.58989,0.561766
"159",-1.06858,0.501564,-1.34989,-0.503288
"160",2.09271,-1.33543,1.32768,0.253959
"161",1.35399,2.23442,-0.318612,0.208145
"162",1.25829,1.27397,0.242183,0.986909
"163",-0.65261,0.102812,0.500106,-1.51662
"164",2.12482,-0.18189,-0.172835,0.393981
"165",3.37721,0.428231,0.954562,1.09223
"166",-1.14484,-0.448002,0.075106,0.924356
"167",-0.710483,0.961819,-0.580709,0.422935
"168",0.227582,1.04248,-0.827047,-1.90835
"169",-0.489143,-0.327443,-0.12879,-0.742698
"170",-0.261556,-1.05125,-0.769739,0.172946
"171",0.120691,2.07083,-1.60922,-0.830146
"172",0.688154,1.42101,0.0236851,-0.825295
"173",1.3071,0.22061,-1.21633,-1.28457
"174",-1.42663,-0.320105,-0.608803,1.15902
"175",-0.514041,-0.111426,-1.16815,0.312727
"176",0.57304,1.04271,0.153826,0.3246
"177",-0.133555,-0.217117,-0.0917765,0.00373565
"178",-0.802987,-1.17013,-1.4041,-3.13159
"179",-1.71206,-1.16287,-0.425064,0.0710572
"180",1.01125,-1.42278,0.123067,-0.190189
"181",1.14924,-0.115914,1.64062,1.11457
"182",0.389901,-0.762924,0.574505,0.752476
"183",1.03946,-1.00467,-0.862053,2.22858
"184",-0.850993,1.98194,0.292942,0.262058
"185",-0.476824,-1.38993,-0.434623,-4.4457
"186",0.397995,0.999057,-0.274258,0.163341
"187",0.415005,0.460831,0.0744274,-1.54479
"188",-1.07571,-0.977281,-0.924604,0.393096
"189",-0.812138,-1.52127,1.13605,-0.924896
