"","grp$grp"
"A1_N10P2","1"
"A10_N07P06","1"
"A102_N11P37","1"
"A115_N12P40","1"
"A122_N03P40","1"
"A131_N10P46","1"
"A135_N08P46","1"
"A18_N7P6","1"
"A19_N5P6","1"
"A22_N09p09","1"
"A27_N8P9","1"
"A34_NNAP12","1"
"A38_N5P12","1"
"A4_N8P2","1"
"A44_N10P14","1"
"A82_N15P36","1"
"AE01_N04TAF","4"
"AE02_N04TAF","1"
"AE05_N04TAF","3"
"AE06_N04TAF","2"
"AE08_N04TAF","3"
"AE10_N04TAF","2"
"AE12_N04TAF","4"
"AE13_N04TAF","1"
"AE14_N04TAF","3"
"AE15_N04TAF","1"
"AE16_N04TAF","2"
"AE18_N04TAF","1"
"AE19_N04TAF","1"
"AE22_N04TAF","3"
"AE23_N04TAF","2"
"AE24_N04TAF","4"
"AE25_N04TAF","1"
"AE28_N04TAF","3"
"AE29_N04TAF","3"
"AMP01_NNAPNA","1"
"AMP02_NNAPNA","1"
"AMP03_NNAPNA","1"
"AMP04_NNAPNA","1"
"AMP05_NNAPNA","1"
"AMP05r_NNAPNA","1"
"AMP06_NNAPNA","1"
"AMP07_NNAPNA","1"
"AMP08_NNAPNA","1"
"AMP08r_NNAPNA","1"
"AP01_N04TAF","3"
"AP02_N04TAF","3"
"AP03_N04TAF","4"
"AP05_N04TAF","3"
"AP09_N04TAF","3"
"AP10_N04TAF","3"
"AP11_N04TAF","1"
"AP12_N04TAF","4"
"AP13_N04TAF","1"
"AP14_N04TAF","1"
"AP16_N04TAF","3"
"AP17_N04TAF","3"
"AP20_N04TAF","2"
"AP22_N04TAF","4"
"AP25_N04TAF","2"
"AP26_N04TAF","2"
"AP27_N04TAF","4"
"AP29_N04TAF","4"
"AP30_N04TAF","3"
"AX03_N04TAF","2"
"AX05_N04TAF","1"
"AX07_N04TAF","3"
"AX08_N04TAF","3"
"AX09_N04TAF","3"
"AX10_N04TAF","4"
"AX12_N04TAF","1"
"AX13_N04TAF","1"
"AX14_N04TAF","1"
"AX15_N04TAF","1"
"AX16_N04TAF","4"
"AX17_N04TAF","3"
"AX19_N04TAF","3"
"AX21_N04TAF","4"
"AX22_N04TAF","4"
"AX25_N04TAF","1"
"AX26_N04TAF","3"
"AX27_N04TAF","4"
"AX28_N04TAF","1"
"B103_N11P34","1"
"B103r_N11P34","1"
"B105_N5P34","1"
"B109_N05P34","1"
"B112_N9P34","1"
"B113_N05P34","1"
"B122_N12P39","1"
"B84_NNAP24","1"
"B89_NNAP25","1"
"B96_N15P33","1"
"C101_N08P37","1"
"C122_NNAP44","1"
"C17_N5P6","1"
"C3_N9P2","1"
"C36_N06P12","1"
"C5_N9P2","1"
"C64_N09P29","1"
"CA03_N04TAF","3"
"CA04_N04TAF","3"
"CA06_N04TAF","1"
"CA07_N04TAF","3"
"CA09_N04TAF","1"
"CA10_N04TAF","2"
"CA10r_N04TAF","2"
"CA11_N04TAF","1"
"CA14_N04TAF","3"
"CA16_N04TAF","3"
"CA17_N04TAF","3"
"CA18_N04TAF","2"
"CA19_N04TAF","4"
"CA21_N04TAF","2"
"CA22_N04TAF","2"
"CA25_N04TAF","2"
"CA27_N04TAF","1"
"CA28_N04TAF","4"
"CA29_N04TAF","4"
"CA30_N04TAF","1"
"CC01_N04TAF","2"
"CC02_N04TAF","2"
"CC03_N04TAF","2"
"CC07_N04TAF","2"
"CC09_N04TAF","3"
"CC10_N04TAF","2"
"CC11_N04TAF","1"
"CC13_N04TAF","1"
"CC15_N04TAF","4"
"CC16_N04TAF","4"
"CC17_N04TAF","3"
"CC20_N04TAF","4"
"CC21_N04TAF","3"
"CC23_N04TAF","4"
"CC24_N04TAF","2"
"CC26_N04TAF","1"
"CC26r_N04TAF","1"
"CC27_N04TAF","3"
"CC29_N04TAF","3"
"CC30_N04TAF","4"
"D1_N7P1","1"
"D127_N6P35","1"
"D142_N14P38","1"
"D163_N18P43","1"
"D168_N19P47","1"
"D17_N10P4","1"
"D172_N10P48","1"
"D23_N5P4","1"
"D3_07P01","1"
"D32_N9P7","1"
"D4_N7P1","1"
"D64_N18P18","1"
"D65_N7P18","1"
"D66_N10P19","1"
"D7_N08P01","1"
"D70_N09P19","1"
"D72_N13P19","1"
"D73_N7P19","1"
"D76_N12P20","1"
"D88_NNAP28","1"
"E166NNAP38","1"
"E17_N6P5","1"
"E174_N8P38","1"
"E191_NNAP43","1"
"E192_NNAP43","1"
"E22_N6P5","1"
"E31_N5P8","1"
"E4_N8P3","1"
"E47_N11P11","1"
"E48_N8P11","1"
"E51_N11P15","1"
"E66_N14P20","1"
"E67_NNAP22","1"
"E72_N06P67","1"
"E77_NNAP28","1"
"E83_N13P29","1"
"E89_N16P29","1"
"F100_N10P32","1"
"F101_N9P32","1"
"F101r_N9P32","1"
"F104_N8P32","1"
"F108_N8P32","1"
"F109_N11P32","1"
"F111_N11P32","1"
"F123_N6P41","1"
"F131_N11P43","1"
"F134_NNAP48","1"
"F138_N07P48","1"
"F139_N05P48","1"
"F18_N14P4","1"
"F2_N8P1","1"
"F3_N8P1","1"
"F33_N8P7","1"
"F4_N08P01","1"
"F66_N8P13","1"
"F67_N9P18","1"
"F68_N7P18","1"
"F73_N13P19","1"
"F84_NNAP28","1"
"F85_NNAP28","1"
"F9_N4P1","1"
"G101_NNAP33","1"
"G102_NNAP33","1"
"G103_N7P33","1"
"G104_N7P33","1"
"G110_N6P35","1"
"G112_N07P35","1"
"G114_N7P35","1"
"G115_N7P35","1"
"G118_N7P35","1"
"G12_NNAP5","1"
"G124_N7P35","1"
"G126_N13P38","1"
"G129_N8P38","1"
"G134_N9P38","1"
"G137_N11P38","1"
"G142_N8P38","1"
"G148_N6P41","1"
"G16_N6P5","1"
"G162_NNAP48","1"
"G163_NNAP48","1"
"G164_N17P48","1"
"G22_N9P5","1"
"G25_N6P5","1"
"G3_N08P03","1"
"G34_N5P8","1"
"G4_N10P3","1"
"G43_N8P11","1"
"G52_N11P15","1"
"G53_N16P15","1"
"G60_N06P17","1"
"G63_N7P20","1"
"G85_N11P30","1"
"G87_N13P30","1"
"G89_N11P30","1"
"G92_N12P29","1"
"G93_N12P29","1"
"G99_N11P29","1"
"H11_N5P6","1"
"H124_N05P37","1"
"H141_N14P40","1"
"H143_N18P40","1"
"H147_N07P40","1"
"H148_N05P40","1"
"H154_N11P44","1"
"H16_N9P6","1"
"H162_N16P46","1"
"H17_N10P6","1"
"H18_N13P6","1"
"H19_N7P6","1"
"H2_N9P2","1"
"H20_N8P6","1"
"H22_N6P6","1"
"H25_N5P6","1"
"H3_N9P2","1"
"H30_N9P9","1"
"H31_N5P9","1"
"H38_NNAP09","1"
"H42_N4P12","1"
"H49_N5P12","1"
"H5_N10P2","1"
"H53_N6P12","1"
"H65_NNAP16","1"
"H79_N4P29","1"
"H8_N6P6","1"
"H94_N9P31","1"
"I108_N5P34","1"
"I111_NNAP39","1"
"I12_N10P6","1"
"I14_N8P6","1"
"I15_N13P6","1"
"I16_N8P6","1"
"I2_N10P02","1"
"I5_N10P02","1"
"I54_N11P16","1"
"I58_N12P21","1"
"I6_N5P6","1"
"I61_N9P21","1"
"I65_N23P24","1"
"I71_NNAP25","1"
"I74_N14P29","1"
"I79_N11P29","1"
"I8_N5P6","1"
"I81_N13P29","1"
"I83_N09P31","1"
"I93_N05P31","1"
"I96_N10P34","1"
"I97_N11P34","1"
"J11_N5P4","1"
"J136_NNAP46","1"
"J33_N04P10","1"
"J35_N05P10","1"
"J53_N4P13","1"
"J57_N6P13","1"
"J62_NNAP18","1"
"J71_N8P19","1"
"J75_N06P20","1"
"J81_N03P27","3"
"J89_NNAP28","1"
"J90_NNAP28","1"
"J91_NNAP28","1"
"J92_NNAP28","1"
"K1_N8P3","1"
"K10_N3P3","1"
"K100_N12P33","1"
"K103_N14P33","1"
"K104_N03P42","1"
"K11_N4P1","1"
"K118_NNAP45","1"
"K11r_N4P1","1"
"K121_N11P47","1"
"K122_N10P47","1"
"K124_N13P48","1"
"K125_N11P48","1"
"K14_NNAP5","1"
"K23_N8P5","1"
"K25_N15P5","1"
"K29_N7P8","1"
"K3_N08P03","1"
"K30_N11P08","1"
"K41_N14P11","1"
"K45_NNAP11","1"
"K49_N13P11","1"
"K51_N14P11","1"
"K52_N11P11","1"
"K56_N16P15","1"
"K6_N3P3","1"
"K62_N09P17","1"
"K63_N7P17","1"
"K69_N10P20","1"
"K7_N03P03","1"
"K70_N9P20","1"
"K71_N12P20","1"
"K72_N06P20","1"
"K74_NNAP23","1"
"K78_N05P26","1"
"K88_N4P30","1"
"K94_N08P29","1"
"K96_N13P33","1"
"K98_N12P33","1"
"K99_N10P33","1"
"L101_N5P41","1"
"L16_N11P05","1"
"L76_N5P30","1"
"L88_N9P33","1"
"M12_NNAP14","1"
"M13_NNAP20","1"
"M18_N13P29","1"
"M19_N13P32","1"
"M2_N5P9","1"
"M26_NNAP34","1"
"M29_N15P34","1"
"M2r_N5P9","1"
"M30_N12P34","1"
"M33_N16P39","1"
"M35_N10P39","1"
"M39_N13P42","1"
"M6_NNAP9","1"
"PP1_NNAP1","1"
"PP3_NNAP01","1"
"PP4_NNAP1","1"
"PP4r_NNAP1","1"
"PP5_NNAP1","1"
"T14_NNAPNA","1"
"VD01_1516","1"
"VD02_1516","1"
"VD04_1516","1"
"VD05_1516","1"
"VD2_NNAPNA","1"
"VD3_NNAPNA","1"
"VD4_NNAPNA","1"
"VS01_1516","1"
"VS02_1516","1"
"VS03_1516","1"
"VS04_1516","1"
"VS05_1516","1"
"VS4_NNAPNA","1"
